Cell Type	Gene
epithelial	EPCAM
epithelial	KRTCAP2
epithelial	KRTCAP3
epithelial	KRT7
epithelial	KRT86
epithelial	KRT81
epithelial	KRT6C
epithelial	KRT6A
epithelial	KRT5
epithelial	KRT4
epithelial	KRT8
epithelial	KRT18
epithelial	KRT10
epithelial	KRT23
epithelial	KRTAP2-3
epithelial	KRT13
epithelial	KRT15
epithelial	KRT19
epithelial	KRT14
epithelial	KRT16
epithelial	KRT17
epithelial	KLK1  
epithelial	KLK5  
epithelial	KLK6  
epithelial	KLK7  
epithelial	KLK8  
epithelial	KLK10 
epithelial	KLK11
macrophages	CD14
macrophages	AIF1
macrophages	CSF1R
macrophages	CD163
CAFs	PDPN
CAFs	DCN
CAFs	THY1
DCs	CD1C
DCs	CD1E
DCs	CCR7
DCs	CD83
B cells	CD19
B cells	CD79A
B cells	CD79B
T cells	CD2
T cells	CD3D
T cells	CD3E
T cells	CD3G
erythrocytes	GATA1
erythrocytes	HBA1
erythrocytes	HBA2
